Asociación,Actividad Subvencionada ,Importe,Justificación requerida,Justificación recibida
AMPA ANTONIO MACHADO,TALLER FIESTA DE CARNAVAL,94.56,No,
AMPA ANTONIO MACHADO,TALLER DIA DEL PADRE,39.04,No,
AMPA ANTONIO MACHADO,TALLER DIA DE LA MADRE,43.64,No,
AMPA ANTONIO MACHADO,FIESTA FIN DE CURSO,921,No,
AMPA ANTONIO MACHADO,CONCURSO LOGOTIPO AMPA,56.57,No,
AMPA ANTONIO MACHADO,ASOCIACION FAPA ALCOBENDAS,80,No,
AMPA ANTONIO MACHADO,ASOCIACION FAPA GINER DE LOS RIOS,86.79,No,
AMPA ANTONIO MACHADO,FIESTA DE NAVIDAD,660,No,
AMPA ANTONIO MACHADO,HALLOWEEN,168.39,No,
AMPA ANTONIO MACHADO,SAN ISIDRO,195,No,
AMPA BACHILLER ALONSO LOPEZ,MATEMATICAS MANIPULATIVAS,480,No,
AMPA BACHILLER ALONSO LOPEZ,PROYECTO DE INGLES,480,No,
AMPA BACHILLER ALONSO LOPEZ,EXCURSIONES PRIMARIA,928,No,
AMPA BACHILLER ALONSO LOPEZ,GRADUACIÓN INFANTIL,360,No,
AMPA BACHILLER ALONSO LOPEZ,GRADUACIÓN 6 PRIM,240,No,
AMPA BACHILLER ALONSO LOPEZ,REVISTA COLEGIO ENTRETIZAS,220,No,
AMPA BACHILLER ALONSO LOPEZ,FIESTA INTERCULTURAL,492,No,
AMPA CASTILLA,CONCURSO TARJETAS NAVIDEÑAS,124,No,
AMPA CASTILLA,TALLER COMO MEJORAR LA AUTOESTIMA DE NUESTROS HIJOS,160,No,
AMPA CASTILLA,FIESTA FIN DE CURSO,840,No,
AMPA CASTILLA,"PROPUESTA DE ACTIV EXTRAESCOLARES, INSCRIPCIONES, INTERCAMBIO LIBROS",150,No,
AMPA CASTILLA,FEDERACION,64,No,
AMPA CASTILLA,FIESTA REYES MAGOS,460,No,
AMPA CASTILLA,CHOCOLATADA,336,No,
AMPA CASTILLA,SAN ISIDRO,163,No,
AMPA CASTILLA,HALLOWEEN,160,No,
AMPA CASTILLA,CARNAVAL EN LA AULAS,147.44,No,
AMPA DAOIZ Y VELARDE,PLAN LECTOR,370,No,
AMPA DAOIZ Y VELARDE,CONCIERTO MUSICA DIVERTIDA,575.74,No,
AMPA DAOIZ Y VELARDE,TALLER HABILIDADES SOCIALES O TECNICAS DE ESTUDIO,220,No,
AMPA DAOIZ Y VELARDE,FIESTA FIN DE CURSO,600,No,
AMPA DAOIZ Y VELARDE,GRADUACIONES INFANTIL Y SEXTO,160,No,
AMPA DAOIZ Y VELARDE,AGENDAS,340,No,
AMPA DAOIZ Y VELARDE,EXPOSICION FOTOGRAFICA,198,No,
AMPA DAOIZ Y VELARDE,NAVIDAD,689,No,
AMPA EMILIO CASADO,DIA DE LA MUSICA,295.67,No,
AMPA EMILIO CASADO,SALIDA CULTURAL AL TEATRO,196,No,
AMPA EMILIO CASADO,FESTIVAL FIN DE CURSO,247,No,
AMPA EMILIO CASADO,FIESTA FIN DE CURSO,1000,No,
AMPA EMILIO CASADO,ASOCIACION FAPA GINER DE LOS RIOS,175,No,
AMPA EMILIO CASADO,ASOCIACION FAPA ALCOBENDAS,77,No,
AMPA EMILIO CASADO,FIESTA NAVIDAD,850,No,
AMPA EMILIO CASADO,INTERCENTROS ATLETISMO,175,No,
AMPA FEDERICO GARCIA LORCA,DIA DEL LIBRO,1400,No,
AMPA FEDERICO GARCIA LORCA,TALLERES DE HALLOWEEN Y ADORNOS NAVIDAD,85,No,
AMPA FEDERICO GARCIA LORCA,FIESTA FIN DE CURSO,434.06,No,
AMPA GABRIEL Y GALAN,EXCURSIONES,1151.51,No,
AMPA GABRIEL Y GALAN,HUERTO ESCOLAR,80,No,
AMPA GABRIEL Y GALAN,CUENTACUENTOS,200,No,
AMPA GABRIEL Y GALAN,TALLER NAVIDEÑO,120,No,
AMPA GABRIEL Y GALAN,FIESTA FIN DE CURSO,480,No,
AMPA GABRIEL Y GALAN,PERIODICO,160,No,
AMPA GABRIEL Y GALAN,CARNAVAL,350,No,
AMPA GABRIEL Y GALAN,SAN ISIDRO,200,No,
AMPA LUIS BUÑUEL,CONCURSO FELICITACIONES DE NAVIDAD,90,No,
AMPA LUIS BUÑUEL,MERCADILLO NAVIDEÑO,90,No,
AMPA LUIS BUÑUEL,GRADUACION,440,No,
